web-scraper-order,web-scraper-start-url,GameLink,GameLink-href,GameHeading,GameLogo-src,GameDescription,GameImage1-src,GameFeature1,GameFeature1Text,GameFeature2,GameFeature2Text,GameFeature3,GameFeature3Text,GameFeature4,GameFeature4text,GameFeature5,GameFeature5Text
"1764651895-39","https://www.aristocratgaming.com/us/where-to-play","High Stakes","https://www.aristocratgaming.com/us/slots/games/high-stakes","Go Vegas On It","/_product-assets/games-assets/high-stakes/high-stakes_gt_logo_202011_f.png","Shows, roulette wheels and poker chips abound in the Vegas-themed slot, High Stakes™, part of the Lightning Link™ / Lightning Cash™ family. Take a trip down the strip in this multi-denomination game with Cash-on-Reels, scalable bonus prizes and Hold & Spin action. Watch during Free Games as reels become a BIG reel. What happens in Vegas could land you a chance at the Grand Jackpot and progressive prizes in this fun Sin City game.","/_product-assets/games-assets/high-stakes/high-stakes_gt_in-cabinet-image-front_202011_f.png","HOLD & SPIN JACKPOT","Hold & Spin in base or Free Games","GRAND JACKPOT","Exciting top progressive prize","FREE GAMES","Free Games with big symbols","","","",""
"1764651899-40","https://www.aristocratgaming.com/us/where-to-play","Happy and Prosperous","https://www.aristocratgaming.com/us/slots/games/happy-and-prosperous","Rub the Belly of the Buddha","/_product-assets/games-assets/happy-and-prosperous/happy-and-prosperous_gt_logo_202010_f.png","Try your chance for luck with Happy and Prosperous™ a jolly game, part of the Dragon Link™ / Dragon Cash™ family. Make Buddha laugh as players play this Asian themed game with multi-denom choices, wide bet ranges, Free Games and exciting Hold & Spin action. Enjoy the chance to stack up the gold coins and jackpots in this entertaining game.","/_product-assets/games-assets/happy-and-prosperous/happy-and-prosperous_gt_in-cabinet-image-front_202010_f.png","Hold & Spin","Popular Hold & Spin bonus","Grand Jackpot","Exciting top progressive prize","Free Games","Free Games with royal symbols removed","","","",""
"1764651904-41","https://www.aristocratgaming.com/us/where-to-play","Golden Pyramid","https://www.aristocratgaming.com/us/slots/games/golden-pyramid","Stacks on stacks of bonuses","/_product-assets/games-assets/ufc-golden-pyramid/golden-pyramid_gt_logo.png","It's no mystery why Ultimate Fast Cash™ Golden Pyramid™ could become your favorite game: its eponymous Ultimate Fast Cash feature is a Hold & Spin that unlocks additional Cash-on-Reel values for players, it's got the Super Fast Cash coin symbol that can lead to larger credit prizes and the Super jackpot, and if that's not enough - you can trigger free games that reveal a common symbol, wild, or Cash-on-Reels!","/_product-assets/games-assets/ufc-golden-pyramid/golden-pyramid_gt_in-cabinet-image.png","ULTIMATE FASH CASH","Triggered metamorphically by Cash-on-Reel values, the Ultimate Fast Cash feature is a Hold & Spin feature with unlockable reel growth as players land additional Cash-on-Reel values","SUPER FAST CASH","When a Super Fast Cash coin lands in the unlocked Hold & Spin area, the player transitions to an additional Hold & Spin feature with larger credit prizes and an opportunity to win the Super jackpot prize","REVEAL SYMBOL FREE GAMES","Free Game feature with stacks of symbols that reveal a common symbol, wild, or Cash-on-Reels","","","",""
"1764651909-42","https://www.aristocratgaming.com/us/where-to-play","Golden Gong","https://www.aristocratgaming.com/us/slots/games/golden-gong","Summon the Golden Spirits","/_product-assets/games-assets/golden-gong/golden-gong_gt_logo.png","Will you find success striking the Golden Gong? Ring the gilded disk with Free Game rewards and really make some noise with Hold & Spin. You can seize the opportunity and pick up the mallet that others have put down for a chance at linked grand jackpots. Your fortune will ring through the ages.","/_product-assets/games-assets/golden-gong/golden-gong_gt_in-cabinet-image-front.png","HOLD & SPIN","Chance to win credit prizes and jackpots","FREE GAMES","Big symbols for wild reel replacements","GRAND JACKPOT","Exciting top progressive prize","","","",""
"1764651913-43","https://www.aristocratgaming.com/us/where-to-play","Golden Century","https://www.aristocratgaming.com/us/slots/games/golden-century","All That Glitters Is Gold","/_product-assets/games-assets/golden-century/golden-century_gt_logo_202010_f.png","Behold the gold in Golden Century™, part of the Dragon Link™ / Dragon Cash™ family. Featuring the famous Hold & Spin feature, scalable prize bonuses, and Cash-on-Reels, this Asian theme game is entertaining. Try you luck for the chance to win up to 250x your bet on a scatter. During the Golden Century free games, all special symbols will reveal the same symbol, including the chance for the jackpot.","/_product-assets/games-assets/golden-century/golden-century_gt_in-cabinet-image-front_202010_f.png","HOLD & SPIN","Popular Hold & Spin bonus","","","","","","","",""
"1764651918-44","https://www.aristocratgaming.com/us/where-to-play","Go Ghost","https://www.aristocratgaming.com/us/slots/games/go-ghost","Go Ghost™ with the Go Most!","/_product-assets/games-assets/ghost/ghost_gt_logo.png","Raise your spirits in Spooky Link™ Go Ghost™! The iconic features from Mo Mummy™ are combined with the new Go Ghost™ feature in this hauntingly happy adventure. Go Ghost™ randomly drops in and booooost credit values!","/_product-assets/games-assets/ghost/ghost_gt_in-cabinet-image.png","FREE GAMES & JACKPOT FEATURE","Brings back the Free Games & Jackpot features from original Mo Mummy. In Free Games, all Royal symbols are removed from reel strips so only the highest paying symbols remain. In the Jackpot Feature, players pick from 15 symbols until they match 3 jackpots or bonus prizes to win","GO GHOST FEATURE","In the Go Ghost Feature, the Ghost character can come and randomly “Boooooost” the credit values as they land","","","","","",""
"1764651922-45","https://www.aristocratgaming.com/us/where-to-play","Genghis Khan","https://www.aristocratgaming.com/us/slots/games/genghis-khan","Conquer Like a Mongol","/_product-assets/games-assets/genghis-khan/genghis-khan_gt_logo_202010_f.png","Take entertainment to the casino floor with the new Dragon Link game, Genghis Khan. As players expand the kingdom, players embark on a premium Hold & Spin experience. This exciting games offers seamless interaction with simple entertainment and chances for lots of Free Games. Grab your sword and let the game excitement begin.","/_product-assets/games-assets/genghis-khan/genghis-khan_gt_arc-single_in-cabinet-image-front_202010_f.png","HOLD & SPIN JACKPOT","Hold & Spin in base or Free Games","FREE GAMES","With wild multipliers and Hold & Spin potential","GRAND JACKPOT","Exciting top progressive prize","","","",""
"1764651927-46","https://www.aristocratgaming.com/us/where-to-play","General Tso","https://www.aristocratgaming.com/us/slots/games/general-tso","Charge forward to an entertaining time","/_product-assets/games-assets/general-tso/general-tso_gt_logo.png","Classic Hold & Spin with scaling Grand and Major Jackpots? Twin Spins Free Games for chances at great line wins? And a new Phoenix Free Feature? That's a check on all fronts when you play General Tso™! One of the esteemed titles in the all-new Phoenix Link™ and housed in the formidable Neptune Single cabinet, this game comes with stunning graphics to make every play a fiery experience.","/_product-assets/games-assets/general-tso/general-tso_gt_in-cabinet-image.png","HOLD & SPIN","A player favorite, classic Hold & Spin gameplay with scaling Grand and Major Jackpot","PHOENIX FREE FEATURE","All Phoenix symbols landed increment towards a counter with chances to trigger a free Hold & Spin","FREE GAMES","This game features Twin Spins for chances at great line wins and increased chances to win the Hold & Spin","","","",""
"1764651931-47","https://www.aristocratgaming.com/us/where-to-play","Fu Dai Lian Lian","https://www.aristocratgaming.com/us/slots/game-groups/fu-dai-lian-lian","Fu Dai Lian Lian","","","","","","","","","","","","",""
"1764651935-48","https://www.aristocratgaming.com/us/where-to-play","Fortune Harmony Spins","https://www.aristocratgaming.com/us/slots/game-groups/fortune-harmony-spins","For more enjoyment, just add Wheel","","","","","","","","","","","","",""
